step 000000 | loss 1.3289
step 000100 | loss 0.9988
step 000200 | loss 0.9937
step 000300 | loss 0.9859
step 000400 | loss 0.9631
step 000500 | loss 0.9512
step 000600 | loss 0.9589
step 000700 | loss 0.9165
step 000800 | loss 0.9368
step 000900 | loss 0.9036
step 001000 | loss 0.8919
step 001100 | loss 0.8643
step 001200 | loss 0.8887
step 001300 | loss 0.8810
step 001400 | loss 0.8598
step 001500 | loss 0.8294
step 001600 | loss 0.8253
step 001700 | loss 0.8609
step 001800 | loss 0.8429
step 001900 | loss 0.8199
step 002000 | loss 0.8220
step 002100 | loss 0.8039
step 002200 | loss 0.7977
step 002300 | loss 0.8131
step 002400 | loss 0.7970
step 002500 | loss 0.7920
step 002600 | loss 0.7884
step 002700 | loss 0.7816
step 002800 | loss 0.7793
step 002900 | loss 0.7825
step 003000 | loss 0.7794
step 003100 | loss 0.7817
step 003200 | loss 0.7764
step 003300 | loss 0.7700
step 003400 | loss 0.7654
step 003500 | loss 0.7629
step 003600 | loss 0.7637
step 003700 | loss 0.7681
step 003800 | loss 0.7676
step 003900 | loss 0.7626
step 004000 | loss 0.7607
step 004100 | loss 0.7613
step 004200 | loss 0.7624
step 004300 | loss 0.7628
step 004400 | loss 0.7592
step 004500 | loss 0.7627
step 004600 | loss 0.7617
step 004700 | loss 0.7603
step 004800 | loss 0.7576
step 004900 | loss 0.7559
step 005000 | loss 0.7673
step 005100 | loss 0.7612
step 005200 | loss 0.7613
step 005300 | loss 0.7591
step 005400 | loss 0.7616
step 005500 | loss 0.7538
step 005600 | loss 0.7573
step 005700 | loss 0.7529
step 005800 | loss 0.7565
step 005900 | loss 0.7558
step 006000 | loss 0.7596
step 006100 | loss 0.7559
step 006200 | loss 0.7550
step 006300 | loss 0.7592
step 006400 | loss 0.7575
step 006500 | loss 0.7499
step 006600 | loss 0.7556
step 006700 | loss 0.7511
step 006800 | loss 0.7546
step 006900 | loss 0.7646
step 007000 | loss 0.7531
step 007100 | loss 0.8000
step 007200 | loss 0.7584
step 007300 | loss 0.7554
step 007400 | loss 0.7615
step 007500 | loss 0.7505
step 007600 | loss 0.7572
step 007700 | loss 0.7567
step 007800 | loss 0.7567
step 007900 | loss 0.7506
step 008000 | loss 0.7583
step 008100 | loss 0.7549
step 008200 | loss 0.7578
step 008300 | loss 0.7597
step 008400 | loss 0.7556
step 008500 | loss 0.7577
step 008600 | loss 0.7584
step 008700 | loss 0.7550
step 008800 | loss 0.7596
step 008900 | loss 0.7619
step 009000 | loss 0.7575
step 009100 | loss 0.7561
step 009200 | loss 0.7543
step 009300 | loss 0.7580
step 009400 | loss 0.7604
step 009500 | loss 0.7763
step 009600 | loss 0.7566
step 009700 | loss 0.7586
step 009800 | loss 0.7743
step 009900 | loss 0.7591
step 010000 | loss 0.7539
step 010100 | loss 0.7521
step 010200 | loss 0.7997
step 010300 | loss 0.7607
step 010400 | loss 0.7538
step 010500 | loss 0.7623
step 010600 | loss 0.7630
step 010700 | loss 0.7573
step 010800 | loss 0.7559
step 010900 | loss 0.7537
step 011000 | loss 0.7584
step 011100 | loss 0.7670
step 011200 | loss 0.7575
step 011300 | loss 0.7620
step 011400 | loss 0.7536
step 011500 | loss 0.7549
step 011600 | loss 0.7540
step 011700 | loss 0.7605
step 011800 | loss 0.7533
step 011900 | loss 0.7513
step 012000 | loss 0.7537
step 012100 | loss 0.7623
step 012200 | loss 0.7615
step 012300 | loss 0.7560
step 012400 | loss 0.7581
step 012500 | loss 0.7552
step 012600 | loss 0.7545
step 012700 | loss 0.7574
step 012800 | loss 0.7549
step 012900 | loss 0.7538
step 013000 | loss 0.7540
step 013100 | loss 0.7582
step 013200 | loss 0.7491
step 013300 | loss 0.7560
step 013400 | loss 0.7561
step 013500 | loss 0.7535
step 013600 | loss 0.7574
step 013700 | loss 0.7542
step 013800 | loss 0.7521
step 013900 | loss 0.7534
step 014000 | loss 0.7560
step 014100 | loss 0.7624
step 014200 | loss 0.7552
step 014300 | loss 0.7542
step 014400 | loss 0.7508
step 014500 | loss 0.7515
step 014600 | loss 0.7519
step 014700 | loss 0.7523
step 014800 | loss 0.7655
step 014900 | loss 0.7506
step 015000 | loss 0.7530
step 015100 | loss 0.7521
step 015200 | loss 0.7528
step 015300 | loss 0.7567
step 015400 | loss 0.7550
step 015500 | loss 0.7493
step 015600 | loss 0.7524
step 015700 | loss 0.7513
step 015800 | loss 0.7540
step 015900 | loss 0.7876
step 016000 | loss 0.8170
step 016100 | loss 0.7586
step 016200 | loss 0.7600
step 016300 | loss 0.7545
step 016400 | loss 0.7514
step 016500 | loss 0.8228
step 016600 | loss 0.7561
step 016700 | loss 0.7591
step 016800 | loss 0.7586
step 016900 | loss 0.7537
step 017000 | loss 0.7501
step 017100 | loss 0.7543
step 017200 | loss 0.7516
step 017300 | loss 0.7594
step 017400 | loss 0.7497
step 017500 | loss 0.7559
step 017600 | loss 0.7545
step 017700 | loss 0.7525
step 017800 | loss 0.7568
step 017900 | loss 0.7556
step 018000 | loss 0.7622
step 018100 | loss 0.7548
step 018200 | loss 0.8003
step 018300 | loss 0.7514
step 018400 | loss 0.7520
step 018500 | loss 0.7531
step 018600 | loss 0.7528
step 018700 | loss 0.7516
step 018800 | loss 0.7584
step 018900 | loss 0.7523
step 019000 | loss 0.7604
step 019100 | loss 0.7533
step 019200 | loss 0.7609
step 019300 | loss 0.7553
step 019400 | loss 0.7550
step 019500 | loss 0.7528
step 019600 | loss 0.7683
step 019700 | loss 0.7516
step 019800 | loss 0.7514
step 019900 | loss 0.7520
step 020000 | loss 0.7533
step 020100 | loss 0.7541
step 020200 | loss 0.7533
step 020300 | loss 0.7532
step 020400 | loss 0.7550
step 020500 | loss 0.7504
step 020600 | loss 0.7530
step 020700 | loss 0.7556
step 020800 | loss 0.7608
step 020900 | loss 0.7596
step 021000 | loss 0.7565
step 021100 | loss 0.7550
step 021200 | loss 0.7574
step 021300 | loss 0.7504
step 021400 | loss 0.7539
step 021500 | loss 0.7520
step 021600 | loss 0.7523
step 021700 | loss 0.7538
step 021800 | loss 0.7554
step 021900 | loss 0.7545
step 022000 | loss 0.7541
step 022100 | loss 0.7555
step 022200 | loss 0.7545
step 022300 | loss 0.7534
step 022400 | loss 0.7492
